,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
GSM1523758,N197,GSM1523758,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 197,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523758/suppl/GSM1523758_INT201201-10-1_197N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523759,N201,GSM1523759,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 201,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523759/suppl/GSM1523759_INT201201-10-1_201N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523760,N202,GSM1523760,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 202,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523760/suppl/GSM1523760_INT201201-10-1_202N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523761,N205,GSM1523761,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 205,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523761/suppl/GSM1523761_INT201201-10-1_205N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523762,N213,GSM1523762,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 213,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523762/suppl/GSM1523762_INT201201-10-1_213N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523763,N227,GSM1523763,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 227,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523763/suppl/GSM1523763_INT201201-10-1_227N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523764,N228,GSM1523764,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 228,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523764/suppl/GSM1523764_INT201201-10-1_228N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523765,T235,GSM1523765,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 235,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523765/suppl/GSM1523765_INT201201-10-1_235T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523766,N236,GSM1523766,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 236,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523766/suppl/GSM1523766_INT201201-10-1_236N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523767,N238,GSM1523767,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 238,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523767/suppl/GSM1523767_INT201201-10-1_238N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523768,T244,GSM1523768,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 244,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523768/suppl/GSM1523768_INT201201-10-1_244T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523769,T253,GSM1523769,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 253,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523769/suppl/GSM1523769_INT201201-10-1_253T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523770,T255,GSM1523770,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 255,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523770/suppl/GSM1523770_INT201201-10-1_255T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523771,T256,GSM1523771,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 256,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523771/suppl/GSM1523771_INT201201-10-1_256T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523772,T263,GSM1523772,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 263,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523772/suppl/GSM1523772_INT201201-10-1_263T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523773,T268,GSM1523773,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 268,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523773/suppl/GSM1523773_INT201201-10-1_268T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523774,T269,GSM1523774,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 269,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523774/suppl/GSM1523774_INT201201-10-1_269T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523775,T270,GSM1523775,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 270,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523775/suppl/GSM1523775_INT201201-10-1_270T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523776,T275,GSM1523776,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 275,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523776/suppl/GSM1523776_INT201201-10-1_275T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523777,T321,GSM1523777,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 321,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523777/suppl/GSM1523777_INT201201-10-1_321T_HG-U133_Plus_2_.CEL.gz,54675
